BS,CellName,load,ESMode1,ESMode2,ESMode3,ESMode5,ESMode6,Year_x,Month,Day,Hour,Minute_x,Energy,RUType,Mode,Frequency,Bandwidth,Antennas,TXpower
B_0,Cell0,0.437925532,0.0,0.0,0.0,0.0,0.0,2023,1,1,14,0,66.66666667,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.403457447,0.0,0.0,0.0,0.0,0.0,2023,1,1,15,0,67.56352765,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.428989362,0.0,0.0,0.0,0.0,0.0,2023,1,1,16,0,72.64573991,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.5535,0.0,0.0,0.0,0.0,0.0,2023,1,1,17,0,88.04185351,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.870180851,0.0,0.0,0.0,0.0,0.0,2023,1,1,18,0,90.28400598,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.869765957,0.0,0.0,0.0,0.0,0.0,2023,1,1,19,0,84.30493274,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.782329787,0.0,0.0,0.0,0.0,0.0,2023,1,1,20,0,77.13004484,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.651031915,0.0,0.0,0.0,0.0,0.0,2023,1,1,21,0,79.07324365,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.660244681,0.0,0.0,0.0,0.0,0.0,2023,1,1,22,0,83.55754858,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.782510638,0.0,0.0,0.0,0.0,0.0,2023,1,1,23,0,81.091180865,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.785202128,0.0,0.0,0.0,0.0,0.0,2023,1,2,0,0,78.62481315,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.667010638,0.0,0.0,0.0,0.0,0.0,2023,1,2,1,0,63.82660688,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.335904255,0.0,0.0,0.0,0.0,0.0,2023,1,2,2,0,55.754858,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.196170213,0.0,0.0,0.0,0.0,0.0,2023,1,2,3,0,56.95067265,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.213531915,0.0,0.0,0.0,0.0,0.0,2023,1,2,4,0,55.45590433,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.190861702,0.0,0.0,0.0,0.0,0.0,2023,1,2,5,0,56.20328849,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.197031915,0.0,0.0,0.0,0.0,0.0,2023,1,2,6,0,65.17189836,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.40443617,0.0,0.0,0.0,0.0,0.0,2023,1,2,7,0,77.503736925,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.781287234,0.0,0.0,0.0,0.0,0.0,2023,1,2,8,0,89.83557549,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.863319149,0.0,0.0,0.0,0.0,0.0,2023,1,2,9,0,79.37219731,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.650468085,0.0,0.0,0.0,0.0,0.0,2023,1,2,10,0,71.1509716,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.498287234,0.0,0.0,0.0,0.0,0.0,2023,1,2,11,0,74.28998505,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.603361702,0.0,0.0,0.0,0.0,0.0,2023,1,2,12,0,70.55306428,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.488595745,0.0,0.0,0.0,0.0,0.0,2023,1,2,13,0,71.59940209,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.530521277,0.0,0.0,0.0,0.0,0.0,2023,1,2,14,0,74.88789238,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.615053191,0.0,0.0,0.0,0.0,0.0,2023,1,2,15,0,70.85201794,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.499712766,0.0,0.0,0.0,0.0,0.0,2023,1,2,16,0,77.57847534,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.672829787,0.0,0.0,0.0,0.0,0.0,2023,1,2,17,0,84.75336323,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.804021277,0.0,0.0,0.0,0.0,0.0,2023,1,2,18,0,90.28400598,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.859319149,0.0,0.0,0.0,0.0,0.0,2023,1,2,19,0,83.55754858,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.697978723,0.0,0.0,0.0,0.0,0.0,2023,1,2,20,0,76.83109118,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.647638298,0.0,0.0,0.0,0.0,0.0,2023,1,2,21,0,79.37219731,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.710776596,0.0,0.0,0.0,0.0,0.0,2023,1,2,22,0,88.63976084,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.857361702,0.0,0.0,0.0,0.0,0.0,2023,1,2,23,0,82.36173393,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.735914894,0.0,0.0,0.0,0.0,0.0,2023,1,3,0,0,71.59940209,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.524085106,0.0,0.0,0.0,0.0,0.0,2023,1,3,1,0,66.06875934,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.388031915,0.0,0.0,0.0,0.0,0.0,2023,1,3,2,0,60.53811659,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.288095745,0.0,0.0,0.0,0.0,0.0,2023,1,3,3,0,58.59491779,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.218287234,0.0,0.0,0.0,0.0,0.0,2023,1,3,4,0,53.96113602,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.137925532,0.0,0.0,0.0,0.0,0.0,2023,1,3,5,0,54.26008969,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.152574468,0.0,0.0,0.0,0.0,0.0,2023,1,3,6,0,61.13602392,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.304819149,0.0,0.0,0.0,0.0,0.0,2023,1,3,7,0,68.60986547,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.461553191,0.0,0.0,0.0,0.0,0.0,2023,1,3,8,0,74.88789238,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.565914894,0.0,0.0,0.0,0.0,0.0,2023,1,3,9,0,77.42899851,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.608712766,0.0,0.0,0.0,0.0,0.0,2023,1,3,10,0,74.14050822,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.563180851,0.0,0.0,0.0,0.0,0.0,2023,1,3,11,0,75.33632287,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.594,0.0,0.0,0.0,0.0,0.0,2023,1,3,12,0,78.47533632,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.646446809,0.0,0.0,0.0,0.0,0.0,2023,1,3,13,0,75.4857997,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.569723404,0.0,0.0,0.0,0.0,0.0,2023,1,3,14,0,73.69207773,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.547106383,0.0,0.0,0.0,0.0,0.0,2023,1,3,15,0,74.28998505,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.563361702,0.0,0.0,0.0,0.0,0.0,2023,1,3,16,0,76.83109118,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.610382979,0.0,0.0,0.0,0.0,0.0,2023,1,3,17,0,84.00597907,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.777351064,0.0,0.0,0.0,0.0,0.0,2023,1,3,18,0,85.94917788,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.803765957,0.0,0.0,0.0,0.0,0.0,2023,1,3,19,0,78.92376682,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.681085106,0.0,0.0,0.0,0.0,0.0,2023,1,3,20,0,79.8206278,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.714510638,0.0,0.0,0.0,0.0,0.0,2023,1,3,21,0,85.94917788,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.857829787,0.0,0.0,0.0,0.0,0.0,2023,1,3,22,0,87.29446936,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.833202128,0.0,0.0,0.0,0.0,0.0,2023,1,3,23,0,82.36173393,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.760776596,0.0,0.0,0.0,0.0,0.0,2023,1,4,0,0,71.1509716,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.502840426,0.0,0.0,0.0,0.0,0.0,2023,1,4,1,0,63.97608371,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.360893617,0.0,0.0,0.0,0.0,0.0,2023,1,4,2,0,60.837070255,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.27387234,0.0,0.0,0.0,0.0,0.0,2023,1,4,3,0,57.6980568,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.151606383,0.0,0.0,0.0,0.0,0.0,2023,1,4,5,0,57.24962630500001,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.21662766,0.0,0.0,0.0,0.0,0.0,2023,1,4,6,0,56.80119581,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.217531915,0.0,0.0,0.0,0.0,0.0,2023,1,4,7,0,61.88340807,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.319361702,0.0,0.0,0.0,0.0,0.0,2023,1,4,8,0,65.17189836,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.396521277,0.0,0.0,0.0,0.0,0.0,2023,1,4,9,0,68.98355755,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.547265957,0.0,0.0,0.0,0.0,0.0,2023,1,4,10,0,72.79521674,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.555723404,0.0,0.0,0.0,0.0,0.0,2023,1,4,11,0,76.98056801,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.638425532,0.0,0.0,0.0,0.0,0.0,2023,1,4,12,0,78.02690583,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.659574468,0.0,0.0,0.0,0.0,0.0,2023,1,4,13,0,76.68161435,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.664861702,0.0,0.0,0.0,0.0,0.0,2023,1,4,14,0,75.33632287,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.592212766,0.0,0.0,0.0,0.0,0.0,2023,1,4,15,0,73.5426009,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.558925532,0.0,0.0,0.0,0.0,0.0,2023,1,4,16,0,74.14050822,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.560542553,0.0,0.0,0.0,0.0,0.0,2023,1,4,17,0,76.68161435,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.61387234,0.0,0.0,0.0,0.0,0.0,2023,1,4,18,0,75.78475336,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.602382979,0.0,0.0,0.0,0.0,0.0,2023,1,4,19,0,77.57847534,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.682010638,0.0,0.0,0.0,0.0,0.0,2023,1,4,20,0,78.92376682,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.696648936,0.0,0.0,0.0,0.0,0.0,2023,1,4,21,0,86.24813154,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.842457447,0.0,0.0,0.0,0.0,0.0,2023,1,4,22,0,85.50074738,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.810180851,0.0,0.0,0.0,0.0,0.0,2023,1,4,23,0,82.95964126,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.750308511,0.0,0.0,0.0,0.0,0.0,2023,1,5,0,0,69.65620329,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.493989362,0.0,0.0,0.0,0.0,0.0,2023,1,5,1,0,67.56352765,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.471776596,0.0,0.0,0.0,0.0,0.0,2023,1,5,2,0,60.388639760000004,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.188957447,0.0,0.0,0.0,0.0,0.0,2023,1,5,3,0,53.21375187,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.116212766,0.0,0.0,0.0,0.0,0.0,2023,1,5,6,0,61.958146490000004,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.628808511,0.0,0.0,0.0,0.0,0.0,2023,1,5,10,0,70.70254111,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.484414894,0.0,0.0,0.0,0.0,0.0,2023,1,5,11,0,70.70254111,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.467095745,0.0,0.0,0.0,0.0,0.0,2023,1,5,12,0,70.70254111,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.461861702,0.0,0.0,0.0,0.0,0.0,2023,1,5,13,0,72.272047835,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.427468085,0.0,0.0,0.0,0.0,0.0,2023,1,5,16,0,73.84155456,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.542117021,0.0,0.0,0.0,0.0,0.0,2023,1,5,17,0,83.70702541,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.748521277,0.0,0.0,0.0,0.0,0.0,2023,1,5,18,0,83.85650224,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.848223404,0.0,0.0,0.0,0.0,0.0,2023,1,5,19,0,84.00597907,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.735734043,0.0,0.0,0.0,0.0,0.0,2023,1,5,20,0,80.71748879,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.71637234,0.0,0.0,0.0,0.0,0.0,2023,1,5,21,0,82.66068759,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.741765957,0.0,0.0,0.0,0.0,0.0,2023,1,5,23,0,75.18684604,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.653223404,0.0,0.0,0.0,0.0,0.0,2023,1,6,0,0,67.71300448,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.186117021,0.0,0.0,0.0,0.0,0.0,2023,1,6,3,0,55.60538117,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.174638298,0.0,0.0,0.0,0.0,0.0,2023,1,6,4,0,52.01793722,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.119542553,0.0,0.0,0.0,0.0,0.0,2023,1,6,5,0,53.66218236,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.146521277,0.0,0.0,0.0,0.0,0.0,2023,1,6,6,0,67.26457399,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.317244681,0.0,0.0,0.0,0.0,0.0,2023,1,6,7,0,80.86696562,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.850031915,0.0,0.0,0.0,0.0,0.0,2023,1,6,9,0,75.78475336,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.613840426,0.0,0.0,0.0,0.0,0.0,2023,1,6,10,0,74.88789238,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.620670213,0.0,0.0,0.0,0.0,0.0,2023,1,6,11,0,69.05829596,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.447840426,0.0,0.0,0.0,0.0,0.0,2023,1,6,15,0,68.90881913,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.457297872,0.0,0.0,0.0,0.0,0.0,2023,1,6,16,0,72.19730942,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.547021277,0.0,0.0,0.0,0.0,0.0,2023,1,6,17,0,80.41853513,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.702255319,0.0,0.0,0.0,0.0,0.0,2023,1,6,18,0,88.9387145,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.835542553,0.0,0.0,0.0,0.0,0.0,2023,1,6,19,0,83.10911809,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.742882979,0.0,0.0,0.0,0.0,0.0,2023,1,6,20,0,72.19730942,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.693,0.0,0.0,0.0,0.0,0.0,2023,1,6,22,0,67.48878924,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.16956383,0.0,0.0,0.0,0.0,0.0,2023,1,7,6,0,62.78026906,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.826404255,0.0,0.0,0.0,0.0,0.0,2023,1,7,9,0,74.73841555,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.585989362,0.0,0.0,0.0,0.0,0.0,2023,1,7,10,0,71.44992526499999,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.462776596,0.0,0.0,0.0,0.0,0.0,2023,1,7,15,0,68.16143498,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.542659574,0.0,0.0,0.0,0.0,0.0,2023,1,7,17,0,79.37219731,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.750819149,0.0,0.0,0.0,0.0,0.0,2023,1,7,23,0,78.62481315,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.03477,0.0,0.0,0.0,0.0,0.0,2023,1,1,1,0,18.08669656,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.05709,0.0,0.0,0.0,0.0,0.0,2023,1,1,2,0,18.08669656,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.03788,0.0,0.0,0.0,0.0,0.0,2023,1,1,3,0,18.08669656,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.05517,0.0,0.0,0.0,0.0,0.0,2023,1,1,4,0,16.14349776,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.01864,0.0,0.0,0.0,0.0,0.0,2023,1,1,5,0,15.54559043,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.01075,0.0,0.0,0.0,0.0,0.0,2023,1,1,6,0,15.99402093,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.01618,0.0,0.0,0.0,0.0,0.0,2023,1,1,7,0,17.18983558,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.03033,0.0,0.0,0.0,0.0,0.0,2023,1,1,8,0,16.29297459,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.01524,0.0,0.0,0.0,0.0,0.0,2023,1,1,9,0,19.43198804,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.02809,0.0,0.0,0.0,0.0,0.0,2023,1,1,10,0,22.57100149,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.12346,0.0,0.0,0.0,0.0,0.0,2023,1,1,11,0,18.98355755,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.05386,0.0,0.0,0.0,0.0,0.0,2023,1,1,12,0,18.68460389,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.04682,0.0,0.0,0.0,0.0,0.0,2023,1,1,13,0,18.23617339,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.04255,0.0,0.0,0.0,0.0,0.0,2023,1,1,14,0,16.89088191,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.01953,0.0,0.0,0.0,0.0,0.0,2023,1,1,15,0,17.7877429,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.03742,0.0,0.0,0.0,0.0,0.0,2023,1,1,16,0,18.98355755,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.05198,0.0,0.0,0.0,0.0,0.0,2023,1,1,17,0,18.53512706,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.04388,0.0,0.0,0.0,0.0,0.0,2023,1,1,18,0,19.28251121,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
B_1,Cell0,0.05424,0.0,0.0,0.0,0.0,0.0,2023,1,1,19,0,18.53512706,Type2,Mode2,0.4565755860640128,1.0,0.047619047619047616,0.49922619935161183
